"","descripteur1","descripteur2","descripteur4","descripteur5","descripteur6","descripteur7","descripteur9","descripteur11","descripteur12","descripteur14","descripteur15","descripteur16","descripteur17","descripteur18","descripteur20","descripteur21","descripteur23","descripteur25","descripteur26","descripteur27","descripteur28","descripteur29","descripteur32","descripteur33","descripteur34","descripteur35","descripteur36","descripteur37","descripteur38","descripteur39","descripteur40","descripteur41","descripteur42","descripteur43","descripteur47","descripteur48","descripteur51","descripteur53","descripteur55","descripteur56","descripteur57","descripteur58","descripteur60","descripteur62","descripteur63","descripteur67","descripteur68","descripteur71","descripteur72","descripteur74"
"molecule8","-61.127716","144.842879","-2.40008831","-0.21926936","-0.11164904","0.10762032","-0.03443226","541.13262358","930.18471519","2","-1.4382","-1.2162","28.401596","2.327949","30","6.679999","5.951738","3.625897","1.321367","1.896282","1.138071","0.411866","64","254.655457","161.477753","25.793194","0","102.29655911","1.11542362","843.29700521","2.67933336","157.63255631","42.08518206","15.07272254","0.77350427","10.36881652","3.04959852","105.81562594","28.252492","-293.467565","650.277217","41.907416","0.144487","46.1598","103.490271","-15.619587","0.206958","3.492009","240.45107","0.170982"
"molecule13","-12.838433","124.556276","-2.3073302","-0.22583804","-0.17102368","0.05481436","-0.02238516","488.49913323","860.90958643","2","2.013","0.6879999999999999","31.329199","1.079075","36","4.966628","0.920311","3.80453","2.540336","2.235599","1.446735","0.849162","86.43856","363.828613","137.561432","17.509775","0","95.05641883","1.13717725","444.58540496","2.08154947","56.1522335","36.8135107","18.64371482","0.75308642","7.18410716","2.18867481","97.08096073","-23.02447","-193.852916","355.872592","21.320154","0.082896","30.11271","41.669968","-11.528331","0.28046","13.494468","104.120224","0.595163"
"molecule20","-98.44896","177.073657","-3.45391014","-0.19954222","-0.07981496","0.11972726","-0.03037465","646.59979891","1217.598","3","0.7863","1.0859","39.84901","2.02666","52","7.911938","1.634581","5.109061","3.35416","3.139372","2.257638","1.36061","147.206711","801.52063","309.260223","27.955736","0","137.26075681","1.10846683","1122.719","2.76259426","280.74078115","51.35294731","24.34292204","0.67810458","10.15754667","2.1475215","143.00863829","72.877651","-319.238812","818.129948","41.617948","0.125411","67.15551000000001","165.558479","-18.559482","0.142376","4.341823","163.87986","0.506167"
"molecule25","-135.433565","165.307315","-3.1731471","-0.19902881","-0.07904693","0.11998188","-0.03181072","609.47604066","1142.403","4","1.1762","0.9758","36.204605","1.998416","52","7.872355","1.429259","5.125897","3.402863","2.868962","1.976417","1.234335","147.206711","804.594482","288.568665","26.325609","0","128.8398678","1.19622132","918.12158536","2.52400299","125.30119054","47.95798863","26.23842448","0.63589744","8.867890109999999","1.75262376","133.0157302","3.968942","-411.925017","834.528471","39.214145","0.126425","48.720104","131.08144","-21.391071","0.240847","4.503316","195.675717","0.369146"
"molecule28","-98.51842600000001","171.541085","-3.2841561","-0.18476276","-0.06852871000000001","0.11623406","-0.03554739","634.3005970299999","1176.371","3","0.6774","0.4712","39.210903","1.887759","52","7.71406","1.543833","5.109061","3.35416","2.928046","2.081739","1.252197","147.206711","801.52063","309.260223","31.000793","0","131.92578839","1.16078136","1136.003","2.77512","266.83806106","52.93473805","19.83879578","0.77358491","10.53450258","3.09833597","134.91692146","67.133768","-350.075044","883.156739","50.028918","0.154422","63.354848","172.705316","-18.470683","0.230631","3.346083","220.06854","0.320724"
"molecule29","-133.113347","209.569249","-4.08780493","-0.20668252","-0.08391849","0.12276403","-0.02918492","749.71419669","1435.572","4","1.0492","0.904","45.571915","3.572362","58","9.854962","2.623252","6.253219","3.921746","3.814108","2.376675","1.448407","160","1196.203","494.141846","34.29332","-0.285215","163.07467177","1.11712624","1967.855","3.31841467","490.93136178","59.65274507","26.2304166","0.59916368","12.36139735","2.36684511","169.13772018","114.0627","-399.613382","1135.223","50.261123","0.130413","96.246875","283.504794","-22.030374","0.204746","7.653498","162.059059","0.579505"
"molecule45","-233.575502","231.38405","-4.02376902","-0.2443869","-0.12997619","0.11441072","-0.0486757","821.6589997999999","1636.373","7","0.4821","0.4224","50.197304","3.192974","80","12.459494","2.71232","7.23107","4.892443","5.253591","4.214299","2.599361","268.078186","1978.411","733.527832","38.946236","0","182.44390406","1.34939557","2936.176","3.12382611","389.04653526","64.01545692000001","30.47437272","0.67305236","11.51685401","2.17872006","190.23864857","-124.959467","-885.159667","1352.767","43.666036","0.10786","56.652845","189.305482","-37.823523","0.198653","2.87448","323.058459","0.202006"
"molecule46","-118.387785","222.041197","-4.36228122","-0.22338073","-0.1028197","0.12056103","-0.0232854","794.58807176","1542.868","4","1.5068","1.5408","49.113022","3.501798","64","10.560127","2.25664","6.701908","4.624563","3.960343","2.528747","1.737682","186.117294","1440.021","539.837036","35.600536","0","174.42141925","1.11331507","1757.143","3.37598373","255.11519932","63.75841072","29.08488265","0.68361582","11.62659088","2.43609364","181.45950123","119.639658","-392.515894","1113.957","39.296789","0.096986","106.322492","292.312426","-17.861737","0.226312","2.244968","79.00647499999999","0.8050079999999999"
"molecule49","9.842487999999999","149.796189","-2.43540287","-0.20343417","-0.07176025","0.13167392","-0.01938258","557.52602111","976.90978391","4","1.4768","-0.0538","29.1842","2.98208","30","7.260001","2.236186","3.718744","2.259306","2.097214","1.37082","0.823607","64","257.075531","152.697037","28","0","109.96303104","1.05599124","718.26031728","2.53789489","180.02493117","41.59843298","21.91406328","0.67545455","9.83848405","2.28025518","114.67903714","123.630525","-181.568212","617.077047","46.839511","0.15592","63.692306","130.830367","-10.913635","0.172533","7.020467","143.340632","0.522847"
"molecule54","53.105837","144.21694","-2.69912837","-0.14521596","-0.02797142","0.11724454","-0.01779346","537.48962056","959.88788156","1","0.8846000000000001","1.1057","34.058403","1.491458","34","5.123267","1.224022","3.931852","2.302095","2.449359","1.510363","0.940456","75.05864699999999","362.459229","150.128601","22.490225","0","108.03367387","1.0010212","568.03130243","2.49235262","160.22140659","42.2806003","18.62514812","0.70416667","9.52719076","2.46129037","112.0345175","110.869577","-136.390223","440.291232","33.202841","0.113929","58.622877","88.567443","-5.588066","0.163357","5.926543","106.695019","0.633898"
"molecule57","-23.818815","176.389069","-3.34282012","-0.20197776","-0.06612274","0.13585502","-0.03471248","651.45562288","1209.763","3","0.583","0.0983","40.816803","2.199038","50","7.71406","1.543833","5.253219","3.552678","3.043756","1.990611","1.27977","134.605942","801.588806","310.151489","33.059139","0","135.87851112","1.11977233","1109.681","2.84291736","219.06315801","50.49969141","24.5272877","0.67471698","10.40170552","2.15729102","140.55444488","79.454133","-316.321369","828.316289","43.312224","0.128754","69.945233","172.233141","-15.873947","0.20675","7.843471","188.555763","0.439483"
"molecule61","-133.906068","251.606115","-4.64650586","-0.22823155","-0.10214869","0.12608286","-0.05210368","909.80635238","1778.059","7","-0.8495","-0.268099","50.605812","3.16817","92","12.330159","2.437628","8.486072","6.427375","5.102657","3.596284","2.343179","310.763916","2951.875","1006.452","48.030624","-0.247267","198.70721952","1.28918313","3847.54","4.03233399","273.68469828","67.98376591","23.99098377","0.68886338","13.37131853","2.65002179","208.11655507","5.568468","-950.113431","1924.114","50.496121","0.112684","101.653343","436.46896","-38.621434","0.240049","1.435825","249.794477","0.442572"
