x;reponse;descripteur1;descripteur2;descripteur4;descripteur5;descripteur6;descripteur7;descripteur9;descripteur11;descripteur12;descripteur14;descripteur15;descripteur16;descripteur17;descripteur18;descripteur20;descripteur21;descripteur23;descripteur25;descripteur26;descripteur27;descripteur28;descripteur29;descripteur32;descripteur33;descripteur34;descripteur35;descripteur36;descripteur37;descripteur38;descripteur39;descripteur40;descripteur41;descripteur42;descripteur43;descripteur47;descripteur48;descripteur51;descripteur53;descripteur55;descripteur56;descripteur57;descripteur58;descripteur60;descripteur62;descripteur63;descripteur67;descripteur68;descripteur71;descripteur72;descripteur74
mol_nouv_1;344.569001816637;-90.988689;158.582575;-2.4800621;-0.18213902;-0.00925984;0.17287918;-0.02211505;568.80891011;1020.145;3;-0.4307;-0.2836;31.7715;6.511843;22;7.27;6.27;3.414214;1.207107;3.364506;2.284331;1.413748;33.21928;169.354904;129.720688;26.267588;1.899259;115.30976329;1.05959804;852.53546676;2.728214;187.86084916;40.02715397;18.55553736;0.69701727;9.66736788;1.89824398;121.06814781;129.436856;-157.492607;544.382097;39.78922;0.129529;67.061365;118.846152;-13.802469;0.207934;11.522447;132.811849;0.567647
mol_nouv_2;346.91454536199;-94.752529;136.536205;-2.019453;-0.19482537;-0.01187791;0.18294747;-0.02078027;500.07022671;899.14706313;3;-0.4943;-0.4368;26.643097;3.615442;20;6.27;3.27;2.80806;1.393847;2.339607;1.38412;0.842996;33.21928;105.070488;78.168961;22.548082;0.138889;97.52098795;1.10904331;533.44144322;2.0235248;124.93720639;32.80780901;21.61945377;0.67592593;7.89393815;1.4811459;103.7894588;46.002333;-209.490182;505.696677;35.637645;0.132823;42.166123;79.47471;-14.92716;0.181929;9.862244;186.997321;0.303051
mol_nouv_3;349.540768802107;-42.746612;84.638385;-1.23096139;-0.22113938;0.00702484;0.22816422;-0.02818317;334.33249496;503.96424452;1;-1.3039;-1.0421;13.142601;0.580857;12;3.27;0;1.732051;0;0.781474;0.402369;0;15.509775;23.264662;24.98045;14;0;55.1587455;1.08878472;123.71653811;1.66367513;21.6794043;23.40986877;13.66899475;0.70588235;6.68701562;1.96676925;57.82653892;54.137559;-119.839065;326.819978;36.622174;0.18035;26.113605;42.029847;-7.295879;0.385026;4.760362;203.061463;0
mol_nouv_4;349.5547124227;-117.808334;96.383114;-1.46445314;-0.22869433;-0.06710162;0.16159271;-0.03174908;369.65136995;588.02615757;3;-0.7235;-0.8765;14.3459;1.715331;16;4.590001;3.590001;2.270056;0.816497;1.097512;0.551852;0.13526;24;56;48.486763;13.774438;-0.777778;65.36402888;1.16349924;211.46264406;1.64307358;55.38367725;23.75528438;18.28271704;0.64796634;6.02465958;1.33175431;68.24501096;-9.020966;-184.843186;355.004749;26.833151;0.123015;22.806237;37.117151;-12.854152;0.402273;13.222843;167.640853;0.23146
mol_nouv_5;348.728652932471;-80.676969;107.775799;-1.38296289;-0.21209663;-0.06753431;0.14456232;-0.02353334;422.6871401;716.208028;3;-0.1369;0.0948;20.472898;2.222331;16;4.98;3.98;2.270056;0.816497;1.729968;0.86808;0.405781;24;56;48.486763;16.529325;-0.083333;75.38368053;1.22190903;319.43123747;1.75532938;94.13838088;25.92887227;20.03380727;0.62937063;6.58634637;1.30428652;78.84840072;-39.981158;-201.100757;343.373238;23.168303;0.099279;22.564507;33.201415;-13.158408;0.430542;13.458734;187.16939;0.197954
mol_nouv_6;346.25868711928;-190.181826;154.328182;-2.54221892;-0.23036803;-0.0802687;0.15009933;-0.03599363;564.45241892;1004.88;5;-0.9034;-0.9865;25.181698;3.775754;34;8.220001;7.220001;4.125897;1.562949;2.139919;1.280276;0.451075;75.058647;357.352539;221.70105;23.483944;-1.126389;110.60938826;1.21225692;998.69591364;2.36599739;184.1327079;39.86961619;21.89061914;0.68836806;9.45094664;1.99101963;116.09442751;-15.005689;-425.555376;810.827127;36.602214;0.12114;43.37942;116.408675;-23.850233;0.255189;4.019953;223.99221;0.258665
mol_nouv_7;341.757624586946;-163.43148;121.670183;-1.9312763;-0.24180805;-0.08178327;0.16002477;-0.03157421;456.33294349;774.55172459;4;-0.3085;-0.394;18.987799;2.178375;26;6.260001;5.260001;3.125897;0.942809;1.562569;0.964254;0.302451;53.302967;171.149887;111.146782;17.298861;-0.805556;84.9095888;1.2255506;450.72551666;2.00346762;98.60351588;30.33934159;20.26956803;0.62564103;7.67487891;1.54004174;88.38545226;-43.025986;-324.011289;554.8412;31.391518;0.12253;27.306384;59.137436;-18.31671;0.287482;8.201626;211.143558;0.175848
mol_nouv_8;345.266753171603;-204.177376;153.79419;-2.56616337;-0.228749;-0.07395011;0.15479889;-0.03845745;551.89604718;993.02786071;5;-0.8054;-1.0114;24.875196;3.001135;36;8.220001;3.774017;4.036581;1.981261;2.164138;1.451898;0.65303;86.43856;360.409729;203.540421;23.483944;-0.75463;110.7535876;1.21067859;873.92207656;2.28971609;181.93365292;38.81501725;23.22583847;0.6257764;9.05008405;1.66105326;115.01625092;-20.359538;-454.474093;850.572141;41.313948;0.139198;41.023831;117.561993;-23.80782;0.223785;3.378048;245.257886;0.17366
mol_nouv_9;350.432622178657;-16.036583;189.664696;-3.52403171;-0.18572144;0.03857394;0.22429539;-0.01579607;641.56437172;1197.227;2;-0.1074;0.0782;36.579803;6.8508;26;7.92;7.123252;3.914214;1.457107;3.316497;1.991564;1.158248;43.01955;253.280365;180.948425;28.529325;6.441014;137.48215375;0.84525879;1114.77;2.84881767;282.34107659;43.26310874;21.74235523;0.73286713;10.85847903;2.12174601;145.03570649;253.498594;-113.811603;915.284648;51.757287;0.153398;99.68724;270.421577;-8.186923;0.089357;4.884999;131.676143;0.609739
mol_nouv_10;355.000740603202;-14.130503;276.859586;-5.34902219;-0.17070676;0.05113675;0.22184351;-0.00755094;925.15091617;1818.259;2;1.432002;2.013602;56.718437;7.512569;46;11.92;11.032108;5.625897;2.312949;4.92131;4.020765;1.960655;110.039101;787.762085;464.702606;40.858917;7.933359;205.75811039;0.8374688;3221.593;4.02141977;566.75807737;64.32179582;29.13190025;0.62815126;13.95187961;2.15768925;219.17068025;384.404542;-111.233562;1390.673;52.255189;0.114192;192.656226;585.482271;-4.569151;0.060612;0.540239;36.118975;0.92107
